ticker,date,period_ending,estimate,reported,surprise,surprise%,
HRI,2022-10-20,Sep-22,3.52,3.42,-0.1,-2.84,2022-10-20
HRL,2022-11-30,Oct-22,0.5,0.51,0.01,2,2022-11-30
HRMY,2022-11-01,Sep-22,0.1,0.95,0.85,850,2022-11-01
HRTX,2022-11-08,Sep-22,-0.39,-0.38,0.01,2.56,2022-11-08
HSC,2022-11-01,Sep-22,-0.07,0.1,0.17,242.86,2022-11-01
HSIC,2022-11-01,Sep-22,1.14,1.15,0.01,0.88,2022-11-01
HSII,2022-10-24,Sep-22,0.86,1,0.14,16.28,2022-10-24
HSKA,2022-11-08,Sep-22,0.45,0.41,-0.04,-8.89,2022-11-08
HST,2022-11-02,Sep-22,0.39,0.38,-0.01,-2.56,2022-11-02
HSTM,2022-10-24,Sep-22,0.05,0.05,0,0,2022-10-24
HSY,2022-11-04,Sep-22,2.07,2.17,0.1,4.83,2022-11-04
HT,2022-10-26,Sep-22,0.38,2.82,2.44,642.11,2022-10-26
HTBI,2022-10-26,Sep-22,0.55,0.6,0.05,9.09,2022-10-26
HTBK,2022-10-27,Sep-22,0.28,0.3,0.02,7.14,2022-10-27
HTH,2022-10-20,Sep-22,0.22,0.5,0.28,127.27,2022-10-20
HTLD,2022-11-02,Sep-22,0.32,0.31,-0.01,-3.13,2022-11-02
HTLF,2022-10-31,Sep-22,1.25,1.31,0.06,4.8,2022-10-31
HTZ,2022-10-27,Sep-22,1.04,1.08,0.04,3.85,2022-10-27
HUBB,2022-10-25,Sep-22,2.73,3.08,0.35,12.82,2022-10-25
HUBG,2022-10-27,Sep-22,2.41,2.61,0.2,8.3,2022-10-27
HUBS,2022-11-02,Sep-22,0.51,0.69,0.18,35.29,2022-11-02
HUM,2022-11-02,Sep-22,6.25,6.88,0.63,10.08,2022-11-02
HUN,2022-11-04,Sep-22,0.71,0.71,0,0,2022-11-04
HURN,2022-11-01,Sep-22,0.99,1.01,0.02,2.02,2022-11-01
HVT,2022-11-01,Sep-22,1.08,1.46,0.38,35.19,2022-11-01
HWC,2022-10-18,Sep-22,1.55,1.55,0,0,2022-10-18
HWKN,2022-11-02,Sep-22,0.84,0.86,0.02,2.38,2022-11-02
HWM,2022-10-31,Sep-22,0.36,0.36,0,0,2022-10-31
HXL,2022-10-24,Sep-22,0.32,0.33,0.01,3.13,2022-10-24
HYLN,2022-11-08,Sep-22,-0.22,-0.36,-0.14,-63.64,2022-11-08
HZNP,2022-11-02,Sep-22,1,1.25,0.25,25,2022-11-02
HZO,2022-10-27,Sep-22,1.17,1.9,0.73,62.39,2022-10-27
IAC,2022-11-08,Sep-22,-0.41,-1.23,-0.82,-200,2022-11-08
IART,2022-10-26,Sep-22,0.72,0.86,0.14,19.44,2022-10-26
IBCP,2022-10-25,Sep-22,0.58,0.81,0.23,39.66,2022-10-25
IBKR,2022-10-18,Sep-22,0.99,1.08,0.09,9.09,2022-10-18
IBM,2022-10-19,Sep-22,1.78,1.81,0.03,1.69,2022-10-19
IBP,2022-11-03,Sep-22,2.32,2.51,0.19,8.19,2022-11-03
IBTX,2022-10-24,Sep-22,1.35,1.33,-0.02,-1.48,2022-10-24
ICE,2022-11-03,Sep-22,1.26,1.31,0.05,3.97,2022-11-03
ICFI,2022-11-03,Sep-22,1.44,1.61,0.17,11.81,2022-11-03
ICHR,2022-11-08,Sep-22,1,1.22,0.22,22,2022-11-08
ICPT,2022-11-01,Sep-22,5.11,-3.04,-8.15,-159.49,2022-11-01
ICUI,2022-11-07,Sep-22,1.41,1.75,0.34,24.11,2022-11-07
IDA,2022-11-03,Sep-22,1.95,2.1,0.15,7.69,2022-11-03
IDCC,2022-11-03,Sep-22,0.44,0.74,0.3,68.18,2022-11-03
IDXX,2022-11-01,Sep-22,2.04,2.15,0.11,5.39,2022-11-01
IDYA,2022-11-08,Sep-22,-0.65,0.04,0.69,106.15,2022-11-08
IEX,2022-10-25,Sep-22,2.01,2.14,0.13,6.47,2022-10-25
