ticker,date,period_ending,estimate,reported,surprise,surprise%,
MAN,2022-10-20,Sep-22,2.18,2.21,0.03,1.38,2022-10-20
MANH,2022-10-25,Sep-22,0.57,0.66,0.09,15.79,2022-10-25
MAR,2022-11-03,Sep-22,1.69,1.69,0,0,2022-11-03
MARA,2022-11-08,Sep-22,-0.36,-0.34,0.02,5.56,2022-11-08
MAS,2022-10-26,Sep-22,1.07,0.98,-0.09,-8.41,2022-10-26
MASI,2022-11-08,Sep-22,0.92,1,0.08,8.7,2022-11-08
MASS,2022-11-14,Sep-22,-0.22,-0.2,0.02,9.09,2022-11-14
MAT,2022-10-25,Sep-22,0.73,0.82,0.09,12.33,2022-10-25
MATW,2022-11-17,Sep-22,0.75,0.82,0.07,9.33,2022-11-17
MATX,2022-11-02,Sep-22,6.75,6.89,0.14,2.07,2022-11-02
MAX,2022-11-03,Sep-22,-0.32,-0.34,-0.02,-6.25,2022-11-03
MBIN,2022-10-27,Sep-22,1.22,1.22,0,0,2022-10-27
MBUU,2022-11-04,Sep-22,1.71,1.78,0.07,4.09,2022-11-04
MBWM,2022-10-18,Sep-22,0.97,1.01,0.04,4.12,2022-10-18
MC,2022-11-02,Sep-22,0.32,0.37,0.05,15.63,2022-11-02
MCB,2022-10-20,Sep-22,2.34,2.23,-0.11,-4.7,2022-10-20
MCD,2022-10-27,Sep-22,2.57,2.68,0.11,4.28,2022-10-27
MCFT,2022-11-09,Sep-22,1.3,1.43,0.13,10,2022-11-09
MCHP,2022-11-03,Sep-22,1.44,1.46,0.02,1.39,2022-11-03
MCK,2022-11-01,Sep-22,6.13,6.06,-0.07,-1.14,2022-11-01
MCO,2022-10-25,Sep-22,2.01,1.85,-0.16,-7.96,2022-10-25
MCRB,2022-11-02,Sep-22,-0.45,-0.49,-0.04,-8.89,2022-11-02
MCRI,2022-10-19,Sep-22,1.26,1.41,0.15,11.9,2022-10-19
MCS,2022-11-03,Sep-22,0.07,0.1,0.03,42.86,2022-11-03
MCW,2022-11-10,Sep-22,0.09,0.09,0,0,2022-11-10
MCY,2022-11-01,Sep-22,-0.55,0.28,0.83,150.91,2022-11-01
MD,2022-11-03,Sep-22,0.53,0.4,-0.13,-24.53,2022-11-03
MDB,2022-12-06,Oct-22,-0.17,0.23,0.4,235.29,2022-12-06
MDC,2022-10-27,Sep-22,2.24,1.98,-0.26,-11.61,2022-10-27
MDGL,2022-11-03,Sep-22,-4.05,-4.75,-0.7,-17.28,2022-11-03
MDLZ,2022-11-01,Sep-22,0.68,0.74,0.06,8.82,2022-11-01
MDRX,2022-11-03,Sep-22,0.19,0.23,0.04,21.05,2022-11-03
MDT,2022-11-22,Oct-22,1.28,1.3,0.02,1.56,2022-11-22
MDU,2022-11-03,Sep-22,0.69,0.75,0.06,8.7,2022-11-03
MDXG,2022-11-02,Sep-22,-0.09,-0.09,0,0,2022-11-02
MED,2022-11-03,Sep-22,1.91,3.32,1.41,73.82,2022-11-03
MEDP,2022-10-24,Sep-22,1.47,2.05,0.58,39.46,2022-10-24
MEG,2022-11-08,Sep-22,-0.2,-0.33,-0.13,-65,2022-11-08
MEI,2022-12-01,Oct-22,0.65,0.75,0.1,15.38,2022-12-01
MET,2022-11-02,Sep-22,1.18,1.21,0.03,2.54,2022-11-02
MFA,2022-11-03,Sep-22,-0.05,-0.62,-0.57,-1140,2022-11-03
MGEE,2022-11-03,Sep-22,1.01,0.93,-0.08,-7.92,2022-11-03
MGI,2022-11-08,Sep-22,0.13,0.11,-0.02,-15.38,2022-11-08
MGM,2022-11-02,Sep-22,0.22,-1.39,-1.61,-731.82,2022-11-02
MGNI,2022-11-09,Sep-22,0.17,0.18,0.01,5.88,2022-11-09
MGNX,2022-11-03,Sep-22,-0.49,-0.4,0.09,18.37,2022-11-03
MGPI,2022-11-03,Sep-22,0.96,1.06,0.1,10.42,2022-11-03
MGRC,2022-10-27,Sep-22,1.06,1.25,0.19,17.92,2022-10-27
MGTX,2022-11-10,Sep-22,-0.5,-0.83,-0.33,-66,2022-11-10
MGY,2022-11-01,Sep-22,1.18,1.29,0.11,9.32,2022-11-01
MHK,2022-10-27,Sep-22,3.34,3.34,0,0,2022-10-27
MHO,2022-10-26,Sep-22,4.05,4.67,0.62,15.31,2022-10-26
MIDD,2022-11-09,Sep-22,2.36,2.18,-0.18,-7.63,2022-11-09
MIRM,2022-11-09,Sep-22,-1.05,-1.02,0.03,2.86,2022-11-09
MKC,2022-10-06,Aug-22,0.65,0.69,0.04,6.15,2022-10-06
MKFG,2022-11-09,Sep-22,-0.08,-0.08,0,0,2022-11-09
MKL,2022-11-01,Sep-22,17.66,13.17,-4.49,-25.42,2022-11-01
MKSI,2022-11-02,Sep-22,2.38,2.74,0.36,15.13,2022-11-02
MKTX,2022-10-19,Sep-22,1.49,1.58,0.09,6.04,2022-10-19
MLAB,2022-11-03,Sep-22,1.39,2.88,1.49,107.19,2022-11-03
MLM,2022-11-02,Sep-22,4.74,4.69,-0.05,-1.05,2022-11-02
MLNK,2022-11-07,Sep-22,0.08,0.06,-0.02,-25,2022-11-07
MMC,2022-10-20,Sep-22,1.16,1.18,0.02,1.72,2022-10-20
MMM,2022-10-25,Sep-22,2.61,2.69,0.08,3.07,2022-10-25
MMS,2022-11-21,Sep-22,1.02,1.4,0.38,37.25,2022-11-21
MMSI,2022-10-26,Sep-22,0.53,0.64,0.11,20.75,2022-10-26
MNKD,2022-11-08,Sep-22,-0.1,-0.06,0.04,40,2022-11-08
MNRO,2022-10-26,Sep-22,0.43,0.43,0,0,2022-10-26
MNST,2022-11-03,Sep-22,0.29,0.3,0.01,3.45,2022-11-03
MNTK,2022-11-09,Sep-22,0.14,0.1,-0.04,-28.57,2022-11-09
MNTV,2022-11-03,Sep-22,0.04,0.04,0,0,2022-11-03
MO,2022-10-27,Sep-22,1.31,1.28,-0.03,-2.29,2022-10-27
MOD,2022-11-02,Sep-22,0.37,0.48,0.11,29.73,2022-11-02
MODN,2022-11-08,Sep-22,0.19,0.2,0.01,5.26,2022-11-08
MOFG,2022-10-27,Sep-22,1.01,1.17,0.16,15.84,2022-10-27
MOH,2022-10-26,Sep-22,4.25,4.36,0.11,2.59,2022-10-26
MORF,2022-11-02,Sep-22,-0.8,-0.78,0.02,2.5,2022-11-02
MOS,2022-11-07,Sep-22,3.52,3.22,-0.3,-8.52,2022-11-07
MP,2022-11-03,Sep-22,0.3,0.36,0.06,20,2022-11-03
MPB,2022-10-26,Sep-22,0.81,0.97,0.16,19.75,2022-10-26
MPC,2022-11-01,Sep-22,6.8,7.81,1.01,14.85,2022-11-01
MPW,2022-10-27,Sep-22,0.45,0.45,0,0,2022-10-27
MPWR,2022-10-27,Sep-22,3.49,3.53,0.04,1.15,2022-10-27
MQ,2022-11-09,Sep-22,-0.1,-0.1,0,0,2022-11-09
MRC,2022-11-08,Sep-22,0.31,0.42,0.11,35.48,2022-11-08
MRCY,2022-11-01,Sep-22,0.2,0.24,0.04,20,2022-11-01
MRK,2022-10-27,Sep-22,1.67,1.85,0.18,10.78,2022-10-27
MRNA,2022-11-03,Sep-22,3.04,2.53,-0.51,-16.78,2022-11-03
MRO,2022-11-02,Sep-22,1.19,1.24,0.05,4.2,2022-11-02
MRSN,2022-11-07,Sep-22,-0.03,-0.61,-0.58,-1933.33,2022-11-07
MRTN,2022-10-17,Sep-22,0.34,0.32,-0.02,-5.88,2022-10-17
MRTX,2022-11-08,Sep-22,-3.46,-3.09,0.37,10.69,2022-11-08
MRVI,2022-11-02,Sep-22,0.32,0.37,0.05,15.63,2022-11-02
MRVL,2022-12-01,Oct-22,0.59,0.57,-0.02,-3.39,2022-12-01
MS,2022-10-14,Sep-22,1.51,1.53,0.02,1.32,2022-10-14
MSA,2022-10-26,Sep-22,1.24,1.45,0.21,16.94,2022-10-26
MSBI,2022-10-20,Sep-22,1.01,1.04,0.03,2.97,2022-10-20
MSCI,2022-10-25,Sep-22,2.76,2.85,0.09,3.26,2022-10-25
MSEX,2022-10-28,Sep-22,0.88,0.8,-0.08,-9.09,2022-10-28
MSFT,2022-10-25,Sep-22,2.29,2.35,0.06,2.62,2022-10-25
MSGS,2022-10-27,Sep-22,-1.02,-0.73,0.29,28.43,2022-10-27
MSI,2022-11-03,Sep-22,2.88,3,0.12,4.17,2022-11-03
MSM,2022-10-20,Aug-22,1.77,1.79,0.02,1.13,2022-10-20
MSTR,2022-11-01,Sep-22,0.94,-0.96,-1.9,-202.13,2022-11-01
MTB,2022-10-19,Sep-22,4.21,3.83,-0.38,-9.03,2022-10-19
MTCH,2022-11-01,Sep-22,0.64,0.58,-0.06,-9.38,2022-11-01
MTD,2022-11-03,Sep-22,9.83,10.18,0.35,3.56,2022-11-03
MTDR,2022-10-25,Sep-22,2.47,2.68,0.21,8.5,2022-10-25
MTG,2022-11-02,Sep-22,0.55,0.86,0.31,56.36,2022-11-02
MTH,2022-10-26,Sep-22,6.41,7.1,0.69,10.76,2022-10-26
MTN,2022-12-08,Oct-22,-3.17,-3.4,-0.23,-7.26,2022-12-08
MTRN,2022-11-02,Sep-22,1.45,1.19,-0.26,-17.93,2022-11-02
MTSI,2022-11-03,Sep-22,0.76,0.77,0.01,1.32,2022-11-03
MTTR,2022-11-10,Sep-22,-0.14,-0.09,0.05,35.71,2022-11-10
MTW,2022-11-07,Sep-22,0.08,0.1,0.02,25,2022-11-07
MTX,2022-10-27,Sep-22,1.38,1.35,-0.03,-2.17,2022-10-27
MTZ,2022-11-03,Sep-22,1.29,1.34,0.05,3.88,2022-11-03
MU,2022-09-29,Aug-22,1.4,1.45,0.05,3.57,2022-09-29
MUR,2022-11-03,Sep-22,1.56,1.84,0.28,17.95,2022-11-03
MUSA,2022-10-26,Sep-22,7.82,9.28,1.46,18.67,2022-10-26
MVIS,2022-10-27,Sep-22,-0.09,-0.08,0.01,11.11,2022-10-27
MVST,2022-11-10,Sep-22,-0.11,-0.06,0.05,45.45,2022-11-10
MWA,2022-11-07,Sep-22,0.14,0.1,-0.04,-28.57,2022-11-07
MXCT,2022-11-09,Sep-22,-0.09,-0.06,0.03,33.33,2022-11-09
MXL,2022-10-25,Sep-22,1.04,1.05,0.01,0.96,2022-10-25
MYE,2022-10-27,Sep-22,0.33,0.41,0.08,24.24,2022-10-27
MYGN,2022-11-01,Sep-22,-0.04,-0.19,-0.15,-375,2022-11-01
MYPS,2022-11-08,Sep-22,-0.01,-0.01,0,0,2022-11-08
MYRG,2022-10-26,Sep-22,1.19,1.09,-0.1,-8.4,2022-10-26
NABL,2022-11-10,Sep-22,0.08,0.07,-0.01,-12.5,2022-11-10
NAPA,2022-12-07,Oct-22,0.14,0.18,0.04,28.57,2022-12-07
NARI,2022-11-02,Sep-22,-0.24,-0.19,0.05,20.83,2022-11-02
NATI,2022-10-27,Sep-22,0.55,0.53,-0.02,-3.64,2022-10-27
NAVI,2022-10-25,Sep-22,0.77,0.75,-0.02,-2.6,2022-10-25
NBHC,2022-10-27,Sep-22,0.65,0.8,0.15,23.08,2022-10-27
NBIX,2022-11-01,Sep-22,0.84,0.69,-0.15,-17.86,2022-11-01
NBN,2022-10-31,Sep-22,1.21,1.12,-0.09,-7.44,2022-10-31
NBR,2022-10-25,Sep-22,-3.71,-5.54,-1.83,-49.33,2022-10-25
NBTB,2022-10-25,Sep-22,0.89,0.92,0.03,3.37,2022-10-25
NCLH,2022-11-08,Sep-22,-0.71,-0.64,0.07,9.86,2022-11-08
NCNO,2022-11-30,Oct-22,-0.02,-0.01,0.01,50,2022-11-30
NCR,2022-10-25,Sep-22,0.78,0.8,0.02,2.56,2022-10-25
NDAQ,2022-10-19,Sep-22,0.65,0.68,0.03,4.62,2022-10-19
NDSN,2022-12-14,Oct-22,2.33,2.44,0.11,4.72,2022-12-14
NEE,2022-10-28,Sep-22,0.79,0.85,0.06,7.59,2022-10-28
NEM,2022-11-01,Sep-22,0.29,0.27,-0.02,-6.9,2022-11-01
NEO,2022-11-08,Sep-22,-0.19,-0.14,0.05,26.32,2022-11-08
NEOG,2022-09-27,Aug-22,0.16,0.15,-0.01,-6.25,2022-09-27
NEWR,2022-11-08,Sep-22,-0.06,0.13,0.19,316.67,2022-11-08
NEX,2022-10-25,Sep-22,0.49,0.52,0.03,6.12,2022-10-25
NFBK,2022-10-26,Sep-22,0.33,0.37,0.04,12.12,2022-10-26
NFE,2022-11-08,Sep-22,0.99,0.41,-0.58,-58.59,2022-11-08
NFG,2022-11-03,Sep-22,1.26,1.19,-0.07,-5.56,2022-11-03
NFLX,2022-10-18,Sep-22,2.11,3.1,0.99,46.92,2022-10-18
NG,2022-10-04,Aug-22,-0.02,-0.05,-0.03,-150,2022-10-04
NGM,2022-11-03,Sep-22,-0.61,-0.59,0.02,3.28,2022-11-03
NGVT,2022-11-02,Sep-22,1.72,2.09,0.37,21.51,2022-11-02
NHI,2022-11-08,Sep-22,1.05,1.06,0.01,0.95,2022-11-08
NI,2022-11-07,Sep-22,0.11,0.1,-0.01,-9.09,2022-11-07
NJR,2022-11-17,Sep-22,0.46,0.5,0.04,8.7,2022-11-17
NKE,2022-09-29,Aug-22,0.91,0.93,0.02,2.2,2022-09-29
NKLA,2022-11-03,Sep-22,-0.39,-0.28,0.11,28.21,2022-11-03
NKTR,2022-11-03,Sep-22,-0.47,-0.24,0.23,48.94,2022-11-03
NKTX,2022-11-09,Sep-22,-0.62,-0.58,0.04,6.45,2022-11-09
NLY,2022-10-26,Sep-22,1.03,1.06,0.03,2.91,2022-10-26
NMIH,2022-11-01,Sep-22,0.82,0.9,0.08,9.76,2022-11-01
NMRK,2022-10-28,Sep-22,0.48,0.35,-0.13,-27.08,2022-10-28
NNN,2022-11-02,Sep-22,0.79,0.81,0.02,2.53,2022-11-02
NNOX,2022-11-10,Sep-22,-0.45,-0.37,0.08,17.78,2022-11-10
NOC,2022-10-27,Sep-22,6.09,5.89,-0.2,-3.28,2022-10-27
NOG,2022-11-08,Sep-22,1.7,1.8,0.1,5.88,2022-11-08
NOV,2022-10-27,Sep-22,0.15,0.08,-0.07,-46.67,2022-10-27
NOVA,2022-10-26,Sep-22,-0.28,-0.54,-0.26,-92.86,2022-10-26
NOVT,2022-11-08,Sep-22,0.73,0.81,0.08,10.96,2022-11-08
NOW,2022-10-26,Sep-22,1.85,1.96,0.11,5.95,2022-10-26
NPO,2022-11-01,Sep-22,1.37,1.91,0.54,39.42,2022-11-01
NRDS,2022-11-02,Sep-22,-0.12,-0.09,0.03,25,2022-11-02
NRG,2022-11-07,Sep-22,0.64,0.29,-0.35,-54.69,2022-11-07
NSA,2022-11-02,Sep-22,0.73,0.21,-0.52,-71.23,2022-11-02
NSC,2022-10-26,Sep-22,3.64,4.1,0.46,12.64,2022-10-26
NSIT,2022-11-03,Sep-22,1.91,1.99,0.08,4.19,2022-11-03
NSP,2022-10-31,Sep-22,0.95,1.23,0.28,29.47,2022-10-31
NSSC,2022-11-07,Sep-22,0.14,0.17,0.03,21.43,2022-11-07
NSTG,2022-11-07,Sep-22,-0.46,-0.79,-0.33,-71.74,2022-11-07
NTAP,2022-11-29,Oct-22,1.34,1.48,0.14,10.45,2022-11-29
NTB,2022-10-31,Sep-22,1.11,1.16,0.05,4.5,2022-10-31
NTCT,2022-10-27,Sep-22,0.49,0.57,0.08,16.33,2022-10-27
NTGR,2022-10-26,Sep-22,0.08,0.21,0.13,162.5,2022-10-26
NTLA,2022-11-03,Sep-22,-1.31,-1.49,-0.18,-13.74,2022-11-03
NTNX,2022-11-30,Oct-22,-0.12,0.03,0.15,125,2022-11-30
NTRA,2022-11-08,Sep-22,-1.42,-1.25,0.17,11.97,2022-11-08
NTRS,2022-10-19,Sep-22,1.82,1.8,-0.02,-1.1,2022-10-19
NTST,2022-10-27,Sep-22,0.28,0.03,-0.25,-89.29,2022-10-27
NUE,2022-10-20,Sep-22,6.45,6.5,0.05,0.78,2022-10-20
NUS,2022-11-02,Sep-22,0.78,0.47,-0.31,-39.74,2022-11-02
NUVA,2022-11-09,Sep-22,0.53,0.54,0.01,1.89,2022-11-09
NUVB,2022-11-03,Sep-22,-0.14,-0.12,0.02,14.29,2022-11-03
NUVL,2022-11-10,Sep-22,-0.46,-0.41,0.05,10.87,2022-11-10
NVAX,2022-11-08,Sep-22,2.21,-2.15,-4.36,-197.29,2022-11-08
NVCR,2022-10-27,Sep-22,-0.3,-0.25,0.05,16.67,2022-10-27
NVDA,2022-11-16,Oct-22,0.7,0.58,-0.12,-17.14,2022-11-16
NVEE,2022-11-03,Sep-22,1.43,1.5,0.07,4.9,2022-11-03
NVR,2022-10-25,Sep-22,126.5,118.51,-7.99,-6.32,2022-10-25
NVRO,2022-11-02,Sep-22,-0.71,-0.62,0.09,12.68,2022-11-02
NVST,2022-11-03,Sep-22,0.47,0.47,0,0,2022-11-03
NVT,2022-10-28,Sep-22,0.59,0.66,0.07,11.86,2022-10-28
NVTA,2022-11-08,Sep-22,-0.59,-0.42,0.17,28.81,2022-11-08
NWBI,2022-10-24,Sep-22,0.3,0.29,-0.01,-3.33,2022-10-24
NWE,2022-10-24,Sep-22,0.58,0.42,-0.16,-27.59,2022-10-24
NWL,2022-10-28,Sep-22,0.47,0.53,0.06,12.77,2022-10-28
NWN,2022-11-08,Sep-22,-0.75,-0.56,0.19,25.33,2022-11-08
NWPX,2022-11-08,Sep-22,0.78,1.05,0.27,34.62,2022-11-08
NWSA,2022-11-08,Sep-22,0.2,0.12,-0.08,-40,2022-11-08
NX,2022-12-15,Oct-22,0.57,0.75,0.18,31.58,2022-12-15
NXGN,2022-10-25,Sep-22,0.24,0.25,0.01,4.17,2022-10-25
NXRT,2022-10-25,Sep-22,0.82,-0.02,-0.84,-102.44,2022-10-25
NXST,2022-11-08,Sep-22,5.5,7.3,1.8,32.73,2022-11-08
NYCB,2022-10-26,Sep-22,0.32,0.31,-0.01,-3.13,2022-10-26
NYMT,2022-11-02,Sep-22,-0.44,-0.24,0.2,45.45,2022-11-02
NYT,2022-11-02,Sep-22,0.15,0.21,0.06,40,2022-11-02
O,2022-11-02,Sep-22,0.96,0.98,0.02,2.08,2022-11-02
OB,2022-11-10,Sep-22,-0.22,-0.1,0.12,54.55,2022-11-10
OBNK,2022-10-26,Sep-22,0.61,0.57,-0.04,-6.56,2022-10-26
OC,2022-10-26,Sep-22,3.17,3.57,0.4,12.62,2022-10-26
OCFC,2022-10-24,Sep-22,0.56,0.6,0.04,7.14,2022-10-24
OCGN,2022-11-08,Sep-22,-0.1,-0.1,0,0,2022-11-08
OCUL,2022-11-07,Sep-22,-0.23,-0.3,-0.07,-30.43,2022-11-07
ODFL,2022-10-26,Sep-22,3.06,3.36,0.3,9.8,2022-10-26
OEC,2022-11-03,Sep-22,0.62,0.57,-0.05,-8.06,2022-11-03
OFC,2022-10-27,Sep-22,0.58,0.58,0,0,2022-10-27
OFG,2022-10-20,Sep-22,0.84,0.87,0.03,3.57,2022-10-20
OFIX,2022-11-03,Sep-22,0.02,0.13,0.11,550,2022-11-03
OGE,2022-11-02,Sep-22,1.12,1.31,0.19,16.96,2022-11-02
OGN,2022-11-03,Sep-22,1.12,1.32,0.2,17.86,2022-11-03
OGS,2022-10-31,Sep-22,0.41,0.44,0.03,7.32,2022-10-31
OHI,2022-11-02,Sep-22,0.77,0.76,-0.01,-1.3,2022-11-02
OI,2022-11-01,Sep-22,0.62,0.63,0.01,1.61,2022-11-01
OII,2022-10-26,Sep-22,0.13,0.23,0.1,76.92,2022-10-26
OKE,2022-11-01,Sep-22,0.93,0.96,0.03,3.23,2022-11-01
OLED,2022-11-03,Sep-22,0.9,1.12,0.22,24.44,2022-11-03
OLLI,2022-12-07,Oct-22,0.41,0.37,-0.04,-9.76,2022-12-07
OLN,2022-10-26,Sep-22,1.86,2.18,0.32,17.2,2022-10-26
OLO,2022-11-09,Sep-22,0.01,0.02,0.01,100,2022-11-09
OLP,2022-11-03,Sep-22,0.48,0.48,0,0,2022-11-03
OLPX,2022-11-09,Sep-22,0.1,0.11,0.01,10,2022-11-09
OM,2022-11-08,Sep-22,-0.71,-0.7,0.01,1.41,2022-11-08
OMC,2022-10-18,Sep-22,1.64,1.77,0.13,7.93,2022-10-18
OMCL,2022-11-02,Sep-22,0.94,1,0.06,6.38,2022-11-02
OMF,2022-10-26,Sep-22,1.23,1.51,0.28,22.76,2022-10-26
OMI,2022-11-02,Sep-22,0.39,0.41,0.02,5.13,2022-11-02
ON,2022-10-31,Sep-22,1.31,1.45,0.14,10.69,2022-10-31
ONB,2022-10-25,Sep-22,0.49,0.51,0.02,4.08,2022-10-25
ONEW,2022-11-15,Sep-22,1.61,1.28,-0.33,-20.5,2022-11-15
ONTF,2022-11-09,Sep-22,-0.16,-0.07,0.09,56.25,2022-11-09
ONTO,2022-10-27,Sep-22,1.31,1.35,0.04,3.05,2022-10-27
OOMA,2022-11-30,Oct-22,0.12,0.14,0.02,16.67,2022-11-30
OPCH,2022-10-27,Sep-22,0.21,0.21,0,0,2022-10-27
OPEN,2022-11-03,Sep-22,-0.37,-0.52,-0.15,-40.54,2022-11-03
OPI,2022-10-27,Sep-22,1.14,0.35,-0.79,-69.3,2022-10-27
OPK,2022-11-08,Sep-22,-0.1,-0.11,-0.01,-10,2022-11-08
OPRX,2022-11-08,Sep-22,0.04,0.07,0.03,75,2022-11-08
ORA,2022-11-02,Sep-22,0.25,0.33,0.08,32,2022-11-02
ORCL,2022-09-12,Aug-22,1.07,1.03,-0.04,-3.74,2022-09-12
ORGN,2022-11-03,Sep-22,-0.09,-0.04,0.05,55.56,2022-11-03
ORI,2022-10-27,Sep-22,0.57,0.68,0.11,19.3,2022-10-27
ORLY,2022-10-26,Sep-22,8.46,9.17,0.71,8.39,2022-10-26
OSBC,2022-10-26,Sep-22,0.4,0.43,0.03,7.5,2022-10-26
OSCR,2022-11-08,Sep-22,-0.76,-0.91,-0.15,-19.74,2022-11-08
OSIS,2022-10-27,Sep-22,0.8,0.87,0.07,8.75,2022-10-27
OSK,2022-10-27,Sep-22,1.15,1,-0.15,-13.04,2022-10-27
OSPN,2022-11-01,Sep-22,-0.12,0.03,0.15,125,2022-11-01
OSTK,2022-10-27,Sep-22,0.12,0.13,0.01,8.33,2022-10-27
OSUR,2022-11-08,Sep-22,-0.06,0.07,0.13,216.67,2022-11-08
OSW,2022-11-02,Sep-22,0.06,0.13,0.07,116.67,2022-11-02
OTIS,2022-10-26,Sep-22,0.78,0.8,0.02,2.56,2022-10-26
OTTR,2022-10-31,Sep-22,1.7,2.01,0.31,18.24,2022-10-31
OUT,2022-11-03,Sep-22,0.55,0.53,-0.02,-3.64,2022-11-03
OVV,2022-11-08,Sep-22,1.98,1.44,-0.54,-27.27,2022-11-08
OWL,2022-11-04,Sep-22,0.13,0.14,0.01,7.69,2022-11-04
OXM,2022-12-07,Oct-22,1.2,1.46,0.26,21.67,2022-12-07
OXY,2022-11-08,Sep-22,2.48,2.44,-0.04,-1.61,2022-11-08
OZK,2022-10-20,Sep-22,1.18,1.08,-0.1,-8.47,2022-10-20
PACB,2022-11-07,Sep-22,-0.35,-0.32,0.03,8.57,2022-11-07
PACW,2022-10-19,Sep-22,1.08,1.02,-0.06,-5.56,2022-10-19
PAG,2022-10-26,Sep-22,4.38,4.61,0.23,5.25,2022-10-26
PAHC,2022-11-09,Sep-22,0.26,0.21,-0.05,-19.23,2022-11-09
PANW,2022-11-17,Oct-22,0.68,0.83,0.15,22.06,2022-11-17
PAR,2022-11-09,Sep-22,-0.41,-0.44,-0.03,-7.32,2022-11-09
PARR,2022-11-01,Sep-22,2.04,2.88,0.84,41.18,2022-11-01
PATH,2022-12-01,Oct-22,-0.04,0.05,0.09,225,2022-12-01
PATK,2022-10-27,Sep-22,2.02,2.43,0.41,20.3,2022-10-27
PAYC,2022-11-01,Sep-22,1.18,1.27,0.09,7.63,2022-11-01
PAYO,2022-11-09,Sep-22,-0.04,-0.05,-0.01,-25,2022-11-09
PAYX,2022-09-28,Aug-22,0.97,1.03,0.06,6.19,2022-09-28
PB,2022-10-26,Sep-22,1.51,1.49,-0.02,-1.32,2022-10-26
PBF,2022-10-27,Sep-22,6.03,7.96,1.93,32.01,2022-10-27
PBH,2022-11-03,Sep-22,1,1.02,0.02,2,2022-11-03
PCAR,2022-10-25,Sep-22,1.34,1.47,0.13,9.7,2022-10-25
PCG,2022-10-27,Sep-22,0.24,0.29,0.05,20.83,2022-10-27
PCH,2022-10-24,Sep-22,0.69,0.74,0.05,7.25,2022-10-24
PCOR,2022-11-02,Sep-22,-0.17,-0.09,0.08,47.06,2022-11-02
PCRX,2022-11-03,Sep-22,0.73,0.64,-0.09,-12.33,2022-11-03
PCTY,2022-11-03,Sep-22,0.61,0.98,0.37,60.66,2022-11-03
PCVX,2022-11-07,Sep-22,-0.8,-0.93,-0.13,-16.25,2022-11-07
PD,2022-12-01,Oct-22,-0.04,0.04,0.08,200,2022-12-01
PDCE,2022-11-02,Sep-22,4.13,3.77,-0.36,-8.72,2022-11-02
PDCO,2022-12-01,Oct-22,0.57,0.63,0.06,10.53,2022-12-01
PDFS,2022-11-10,Sep-22,0.11,0.2,0.09,81.82,2022-11-10
PDM,2022-11-02,Sep-22,0.5,0.03,-0.47,-94,2022-11-02
PEAK,2022-11-01,Sep-22,0.43,0.65,0.22,51.16,2022-11-01
PEB,2022-10-27,Sep-22,0.64,0.1,-0.54,-84.38,2022-10-27
PEBO,2022-10-25,Sep-22,0.83,0.93,0.1,12.05,2022-10-25
PECO,2022-11-03,Sep-22,0.53,0.09,-0.44,-83.02,2022-11-03
PEG,2022-10-31,Sep-22,0.84,0.86,0.02,2.38,2022-10-31
PEGA,2022-10-26,Sep-22,-0.25,-0.34,-0.09,-36,2022-10-26
PEN,2022-11-03,Sep-22,-0.01,0.01,0.02,200,2022-11-03
PENN,2022-11-03,Sep-22,0.38,0.72,0.34,89.47,2022-11-03
PEP,2022-10-12,Sep-22,1.85,1.97,0.12,6.49,2022-10-12
PETQ,2022-11-09,Sep-22,0.06,0.15,0.09,150,2022-11-09
PETS,2022-11-07,Sep-22,0.27,0.13,-0.14,-51.85,2022-11-07
PFBC,2022-10-19,Sep-22,2.12,2.4,0.28,13.21,2022-10-19
PFC,2022-10-25,Sep-22,0.8,0.79,-0.01,-1.25,2022-10-25
PFE,2022-11-01,Sep-22,1.47,1.78,0.31,21.09,2022-11-01
PFG,2022-10-27,Sep-22,1.45,1.69,0.24,16.55,2022-10-27
PFGC,2022-11-09,Sep-22,0.79,1.08,0.29,36.71,2022-11-09
PFS,2022-10-28,Sep-22,0.58,0.58,0,0,2022-10-28
PFSI,2022-10-27,Sep-22,1.12,2.46,1.34,119.64,2022-10-27
PG,2022-10-19,Sep-22,1.55,1.57,0.02,1.29,2022-10-19
PGC,2022-10-27,Sep-22,1.09,1.09,0,0,2022-10-27
PGEN,2022-11-09,Sep-22,0.1,-0.04,-0.14,-140,2022-11-09
PGNY,2022-11-03,Sep-22,0.05,0.13,0.08,160,2022-11-03
PGR,2022-10-13,Sep-22,1.24,0.49,-0.75,-60.48,2022-10-13
PGRE,2022-10-26,Sep-22,0.24,-0.01,-0.25,-104.17,2022-10-26
PGTI,2022-11-10,Sep-22,0.53,0.55,0.02,3.77,2022-11-10
PH,2022-11-03,Sep-22,4.15,4.74,0.59,14.22,2022-11-03
PHM,2022-10-25,Sep-22,2.73,2.69,-0.04,-1.47,2022-10-25
PHR,2022-12-08,Oct-22,-0.88,-0.76,0.12,13.64,2022-12-08
PI,2022-10-26,Sep-22,0.18,0.34,0.16,88.89,2022-10-26
PII,2022-10-25,Sep-22,2.85,3.25,0.4,14.04,2022-10-25
PINC,2022-11-01,Sep-22,0.57,0.52,-0.05,-8.77,2022-11-01
PINS,2022-10-27,Sep-22,0.05,0.11,0.06,120,2022-10-27
